z_final	mh_final	bin_left	bin_right	bin_center	pdf
6.000000	1.000000e+09	-7.30193293	-7.12679579	-7.21436436	7.262811875673e-04
6.000000	1.000000e+09	-7.12679579	-6.95165865	-7.03922722	6.119061973992e-04
6.000000	1.000000e+09	-6.95165865	-6.77652150	-6.86409008	4.803749587059e-04
6.000000	1.000000e+09	-6.77652150	-6.60138436	-6.68895293	3.945937160799e-04
6.000000	1.000000e+09	-6.60138436	-6.42624722	-6.51381579	3.831562170630e-04
6.000000	1.000000e+09	-6.42624722	-6.25111008	-6.33867865	2.516249783698e-04
6.000000	1.000000e+09	-6.25111008	-6.07597293	-6.16354151	2.230312308277e-04
6.000000	1.000000e+09	-6.07597293	-5.90083579	-5.98840436	1.944374832857e-04
6.000000	1.000000e+09	-5.90083579	-5.72569865	-5.81326722	1.372499882017e-04
6.000000	1.000000e+09	-5.72569865	-5.55056151	-5.63813008	1.486874872185e-04
6.000000	1.000000e+09	-5.55056151	-5.37542437	-5.46299294	9.149999213446e-05
6.000000	1.000000e+09	-5.37542437	-5.20028722	-5.28785579	1.143749901681e-04
6.000000	1.000000e+09	-5.20028722	-5.02515008	-5.11271865	8.006249311765e-05
6.000000	1.000000e+09	-5.02515008	-4.85001294	-4.93758151	4.003124655883e-05
6.000000	1.000000e+09	-4.85001294	-4.67487580	-4.76244437	6.862499410084e-05
6.000000	1.000000e+09	-4.67487580	-4.49973865	-4.58730722	7.434374360925e-05
6.000000	1.000000e+09	-4.49973865	-4.32460151	-4.41217008	5.718749508404e-05
6.000000	1.000000e+09	-4.32460151	-4.14946437	-4.23703294	4.003124655883e-05
6.000000	1.000000e+09	-4.14946437	-3.97432723	-4.06189580	3.431249705042e-05
6.000000	1.000000e+09	-3.97432723	-3.79919008	-3.88675866	1.143749901681e-05
6.000000	1.000000e+09	-3.79919008	-3.62405294	-3.71162151	3.431249705042e-05
6.000000	1.000000e+09	-3.62405294	-3.44891580	-3.53648437	1.143749901681e-05
6.000000	1.000000e+09	-3.44891580	-3.27377866	-3.36134723	3.431249705042e-05
6.000000	1.000000e+09	-3.27377866	-3.09864151	-3.18621009	1.143749901681e-05
6.000000	1.000000e+09	-3.09864151	-2.92350437	-3.01107294	1.143749901681e-05
6.000000	1.000000e+09	-2.92350437	-2.74836723	-2.83593580	1.143749901681e-05
6.000000	1.000000e+09	-2.74836723	-2.57323009	-2.66079866	0.000000000000e+00
